id,type,is_shell,is_dormant,watchlisted,avg_txn_amt,open_date,last_active,kyc_risk
ACC_0000,CURRENT,False,False,True,65910.75991812287,2019-07-18,,LOW
ACC_0001,SAVINGS,False,False,False,30763.458078997253,2022-02-25,,MEDIUM
ACC_0002,SAVINGS,False,False,False,79001.82604856593,2018-03-03,,LOW
ACC_0003,SAVINGS,False,False,False,225852.14256032652,2021-02-23,,LOW
ACC_0004,CURRENT,False,False,False,27419.670885629406,2019-03-28,,LOW
ACC_0005,SAVINGS,False,False,False,27420.211094907616,2022-04-04,,MEDIUM
ACC_0006,CURRENT,False,False,False,241604.01870298578,2018-11-15,,LOW
ACC_0007,NRO,False,False,False,91210.16926852214,2020-02-18,,LOW
ACC_0008,SHELL,True,False,False,20673.970761808487,2022-07-11,,LOW
ACC_0009,SAVINGS,False,False,False,69638.44414982088,2023-03-04,,LOW
ACC_0010,CURRENT,False,False,False,20824.777206803556,2021-06-20,,MEDIUM
ACC_0011,SAVINGS,False,False,False,20767.07950396832,2018-05-23,,LOW
ACC_0012,SAVINGS,False,False,False,48550.25499302642,2018-06-13,,MEDIUM
ACC_0013,SHELL,True,False,False,3655.7761639989994,2020-07-17,,MEDIUM
ACC_0014,SAVINGS,False,False,False,4582.951954257852,2019-03-06,,MEDIUM
ACC_0015,CURRENT,False,False,False,18494.98632562099,2018-05-27,,MEDIUM
ACC_0016,SAVINGS,False,False,False,10770.892713273688,2018-12-01,,LOW
ACC_0017,SAVINGS,False,False,False,52949.65307722539,2021-11-10,,LOW
ACC_0018,CURRENT,False,False,False,12214.403014802989,2022-05-09,,LOW
ACC_0019,NRO,False,False,False,6669.069062956674,2020-04-01,,LOW
ACC_0020,SAVINGS,False,False,False,210823.91177961006,2022-11-30,,MEDIUM
ACC_0021,SAVINGS,False,False,False,27696.69689552421,2022-12-17,,HIGH
ACC_0022,SAVINGS,False,False,False,39380.80703963709,2019-05-21,,MEDIUM
ACC_0023,CURRENT,False,False,False,6570.217241069862,2020-05-27,,MEDIUM
ACC_0024,SAVINGS,False,False,False,18896.665002239675,2018-10-11,,LOW
ACC_0025,SAVINGS,False,False,False,41485.826080504645,2018-08-13,,LOW
ACC_0026,SAVINGS,False,False,False,9125.315079302809,2021-05-06,,LOW
ACC_0027,SAVINGS,False,False,False,57001.771313814585,2020-12-19,,LOW
ACC_0028,CURRENT,False,False,False,17663.110163449917,2021-10-25,,MEDIUM
ACC_0029,CURRENT,False,False,False,25590.270515731234,2019-07-01,,MEDIUM
ACC_0030,SAVINGS,False,False,False,17640.489265660985,2018-11-20,,LOW
ACC_0031,DORMANT,False,True,False,335284.2040391674,2019-06-24,,HIGH
ACC_0032,NRO,False,False,False,35732.05022110224,2018-08-06,,MEDIUM
ACC_0033,SAVINGS,False,False,False,10206.161497235338,2021-06-01,,LOW
ACC_0034,SAVINGS,False,False,False,97446.02310651219,2023-05-07,,MEDIUM
ACC_0035,CURRENT,False,False,True,8391.609528977293,2019-10-26,,LOW
ACC_0036,SAVINGS,False,False,False,46659.7092358631,2022-08-31,,MEDIUM
ACC_0037,SAVINGS,False,False,False,3457.8277443698557,2021-03-07,,HIGH
ACC_0038,SAVINGS,False,False,False,7377.401396718028,2018-05-22,,HIGH
ACC_0039,CURRENT,False,False,False,45992.49376079631,2021-09-13,,LOW
ACC_0040,CURRENT,False,False,False,88094.01680976574,2022-11-22,,MEDIUM
ACC_0041,DORMANT,False,True,False,44606.815374802885,2022-03-27,,MEDIUM
ACC_0042,SAVINGS,False,False,False,31609.786820490634,2021-10-07,,MEDIUM
ACC_0043,SAVINGS,False,False,False,25302.9322015082,2018-09-05,,LOW
ACC_0044,SAVINGS,False,False,True,6159.639989514682,2021-02-08,,LOW
ACC_0045,SAVINGS,False,False,False,15308.85885464472,2021-07-16,,LOW
ACC_0046,SAVINGS,False,False,True,20894.33763829308,2019-11-08,,LOW
ACC_0047,SAVINGS,False,False,False,129126.35130545883,2019-03-15,,LOW
ACC_0048,CURRENT,False,False,False,54849.14883217031,2021-03-26,,LOW
ACC_0049,NRO,False,False,False,4378.01985638484,2019-01-25,,LOW
ACC_0050,CURRENT,False,False,False,53578.372273709865,2020-04-21,,LOW
ACC_0051,CURRENT,False,False,False,22877.31903307655,2021-08-16,,LOW
ACC_0052,SAVINGS,False,False,False,16118.026767964824,2022-10-31,,LOW
ACC_0053,SAVINGS,False,False,False,75660.50302128226,2018-10-15,,LOW
ACC_0054,SAVINGS,False,False,False,125141.38123321303,2023-03-06,,LOW
ACC_0055,NRO,False,False,False,111027.82704104541,2018-07-20,,LOW
ACC_0056,DORMANT,False,True,False,13265.725689116012,2023-06-08,,LOW
ACC_0057,NRO,False,False,False,25057.91811492596,2020-04-12,,LOW
ACC_0058,SAVINGS,False,False,False,54041.963071626684,2018-05-01,,LOW
ACC_0059,SAVINGS,False,False,False,117084.84858703084,2023-03-13,,MEDIUM
ACC_0060,SAVINGS,False,False,False,20434.724509187974,2023-05-15,,MEDIUM
ACC_0061,NRO,False,False,False,29062.65303404504,2020-09-23,,LOW
ACC_0062,SAVINGS,False,False,False,9627.684517655081,2021-04-01,,MEDIUM
